Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
104,UHF 5B,467.825000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
105,UHF 6,467.625000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
106,UHF 6A,457.625000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
107,UHF 6B,467.850000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,S,,,,,
108,FRS 1,462.562500,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,S,,,,,
109,FRS 2,462.587500,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,S,,,,,
110,FRS 3,462.612500,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,S,,,,,
111,PMR 1,446.006250,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,S,,,,,
112,PMR 2,446.018750,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,S,,,,,
113,PMR 3,446.031250,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,S,,,,,
114,FRNET1,149.025000,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,S,,,,,
115,FRNET2,149.037500,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,S,,,,,
116,FRNET3,149.050000,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,S,,,,,
117,ALPS E,161.300000,,0.000000,Tone,123.0,88.5,023,NN,NFM,5.00,S,,,,,
118,MAR 16,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
